month,material_cost,labour_cost,machinery_cost,total_cost,cumulative_cost,cumulative_pct
2026-01,352424.0,118588.0,51984.0,523004.0,523004.0,7.3
2026-02,632822.0,125095.0,54150.0,812068.0,1335072.0,18.7
2026-03,950751.0,196791.0,38988.0,1186531.0,2521603.0,35.3
2026-04,1041801.0,300397.0,54150.0,1396356.0,3917959.0,54.8
2026-05,1091060.0,346195.0,49818.0,1487079.0,5405038.0,75.6
2026-06,325951.0,371678.0,23826.0,721437.0,6126475.0,85.7
2026-07,162929.0,445537.0,28158.0,636591.0,6763066.0,94.6
2026-08,40391.0,261991.0,47652.0,350017.0,7113083.0,99.5
2026-09,5202.0,33240.0,0.0,38442.0,7151525.0,100.0
